Frequency,Amplitude,Crosstalk,2nd Harmonic,3rd Harmonic
40,1.91,-11.21,-29.61,-26.79
45,1.24,-13.81,-30.77,-33.32
50,0.89,-15.29,-31.84,-37.21
60,0.85,-16.46,-32.08,-39.24
70,0.83,-18.51,-32.12,-41.63
80,0.66,-20.64,-33.12,-44.84
90,0.47,-21.08,-34.39,-47.77
100,0.43,-20.10,-34.78,-49.84
120,0.54,-19.94,-34.62,-51.38
140,0.72,-21.51,-34.67,-52.76
160,0.86,-23.24,-34.91,-54.28
180,0.89,-23.55,-35.18,-56.52
200,0.81,-22.65,-35.57,-58.96
220,0.75,-21.62,-35.98,-59.95
240,0.74,-21.14,-36.12,-59.60
260,0.73,-21.29,-35.98,-59.59
280,0.71,-21.69,-36.13,-60.27
300,0.74,-21.91,-36.83,-60.71
320,0.78,-21.80,-37.31,-60.55
340,0.78,-21.51,-37.00,-60.17
360,0.78,-21.44,-36.84,-59.68
380,0.83,-21.58,-37.79,-58.28
400,0.88,-21.29,-39.25,-55.74
420,0.87,-20.58,-40.18,-53.45
440,0.83,-20.57,-40.80,-52.22
460,0.80,-21.36,-42.07,-51.23
480,0.78,-21.56,-43.87,-50.38
500,0.76,-20.67,-44.66,-50.65
520,0.72,-20.08,-43.65,-51.77
540,0.65,-20.70,-42.54,-52.28
560,0.57,-21.52,-43.50,-52.00
580,0.54,-21.17,-46.27,-52.17
600,0.54,-20.01,-48.53,-52.94
620,0.54,-19.55,-48.55,-53.02
640,0.49,-20.33,-47.14,-52.31
660,0.42,-21.34,-46.71,-52.24
680,0.36,-21.39,-47.99,-53.10
700,0.33,-20.39,-49.30,-53.29
720,0.29,-19.35,-49.50,-52.54
740,0.24,-19.32,-49.27,-53.26
760,0.23,-20.35,-49.10,-56.38
780,0.24,-21.54,-48.60,-58.78
800,0.26,-22.02,-47.87,-58.09
820,0.24,-21.47,-47.70,-56.75
840,0.22,-20.29,-48.40,-57.56
860,0.21,-19.50,-48.79,-58.65
880,0.19,-19.75,-47.27,-56.81
900,0.13,-20.61,-44.58,-53.24
920,0.07,-21.28,-43.39,-51.81
940,0.04,-21.61,-44.39,-53.13
960,0.02,-21.66,-45.18,-54.56
980,0.01,-21.25,-44.10,-54.67
1000,0.00,-20.46,-42.32,-54.27
1100,-0.01,-19.83,-41.57,-54.09
1200,-0.03,-19.62,-41.57,-53.96
1300,-0.06,-19.60,-40.97,-53.62
1400,-0.09,-19.55,-39.67,-53.09
1500,-0.11,-19.46,-38.69,-52.56
1600,-0.13,-19.36,-38.17,-52.06
1700,-0.15,-19.35,-37.62,-51.02
1800,-0.18,-19.49,-37.29,-49.04
1900,-0.20,-19.49,-37.32,-47.03
2000,-0.23,-19.24,-36.78,-46.34
2100,-0.27,-19.27,-35.43,-47.08
2200,-0.32,-19.78,-34.69,-48.14
2300,-0.33,-20.03,-35.56,-48.50
2400,-0.35,-19.69,-36.46,-48.00
2500,-0.40,-19.59,-35.27,-47.48
2600,-0.46,-20.25,-32.74,-48.21
2700,-0.49,-20.83,-31.57,-49.91
2800,-0.47,-20.56,-32.83,-50.44
2900,-0.48,-19.99,-35.16,-49.02
3000,-0.54,-20.17,-36.49,-47.36
3100,-0.61,-21.16,-35.57,-46.85
3200,-0.63,-22.02,-33.04,-47.05
3300,-0.59,-21.97,-30.80,-47.14
3400,-0.56,-21.26,-29.84,-46.93
3500,-0.59,-20.84,-29.76,-46.63
3600,-0.66,-21.20,-30.02,-46.05
3700,-0.72,-22.06,-30.46,-45.33
3800,-0.70,-22.82,-30.76,-45.65
3900,-0.66,-22.95,-30.48,-47.35
4000,-0.62,-22.32,-30.22,-48.67
4100,-0.60,-21.56,-31.40,-48.26
4200,-0.62,-21.44,-33.82,-47.20
4300,-0.68,-21.94,-35.39,-47.04
4400,-0.72,-22.49,-35.30,-47.08
4500,-0.70,-22.94,-34.40,-46.08
4600,-0.64,-23.20,-32.43,-45.20
4700,-0.52,-22.77,-29.08,-46.00
4800,-0.42,-21.55,-26.36,-47.89
4900,-0.56,-20.62,-26.21,-49.80
5000,-0.92,-20.95,-27.68,-51.35
