Frequency,Amplitude,Crosstalk,2nd Harmonic,3rd Harmonic
40,1.89,-13.12,-32.05,-27.92
45,1.38,-13.91,-31.35,-33.42
50,1.08,-15.32,-31.77,-36.49
60,0.96,-17.25,-32.08,-38.30
70,0.85,-19.20,-32.34,-40.73
80,0.69,-20.62,-34.14,-43.43
90,0.61,-21.26,-36.48,-45.68
100,0.73,-21.45,-37.05,-47.61
120,0.88,-21.38,-36.32,-49.00
140,0.87,-20.76,-36.35,-49.40
160,0.75,-20.04,-37.24,-49.49
180,0.71,-20.15,-37.72,-50.23
200,0.75,-20.91,-37.74,-50.95
220,0.77,-21.24,-38.07,-50.19
240,0.77,-21.00,-38.60,-48.22
260,0.81,-20.97,-38.82,-46.86
280,0.88,-21.50,-39.03,-46.67
300,0.93,-22.25,-39.88,-46.13
320,0.90,-22.57,-41.07,-44.73
340,0.79,-22.16,-41.71,-44.14
360,0.68,-21.36,-41.95,-44.79
380,0.66,-20.59,-42.75,-44.79
400,0.72,-19.95,-43.42,-43.49
420,0.76,-19.80,-42.29,-42.79
440,0.75,-20.36,-40.21,-43.56
460,0.68,-20.83,-40.14,-44.06
480,0.59,-20.55,-42.68,-43.28
500,0.53,-20.21,-45.36,-42.53
520,0.49,-20.61,-46.21,-42.80
540,0.46,-21.15,-45.34,-43.22
560,0.39,-20.90,-44.10,-42.92
580,0.31,-20.08,-44.00,-42.36
600,0.24,-19.75,-45.05,-42.37
620,0.23,-20.31,-45.50,-43.12
640,0.24,-21.05,-44.35,-44.42
660,0.22,-21.08,-42.80,-45.57
680,0.16,-20.40,-42.52,-45.55
700,0.07,-19.71,-43.47,-44.52
720,-0.00,-19.61,-44.25,-43.95
740,-0.05,-20.18,-44.37,-44.23
760,-0.07,-20.96,-44.42,-44.45
780,-0.08,-21.39,-44.37,-44.85
800,-0.10,-21.30,-43.72,-46.32
820,-0.11,-20.91,-42.75,-47.56
840,-0.13,-20.66,-42.09,-46.61
860,-0.17,-20.93,-41.69,-44.67
880,-0.21,-21.64,-41.38,-44.54
900,-0.23,-22.18,-41.47,-46.15
920,-0.26,-22.07,-41.79,-47.29
940,-0.34,-21.57,-41.50,-47.33
960,-0.41,-21.16,-40.59,-47.54
980,-0.42,-20.94,-40.10,-48.65
1000,-0.39,-20.70,-40.29,-49.72
1100,-0.41,-20.39,-40.01,-49.24
1200,-0.48,-20.17,-38.72,-47.19
1300,-0.57,-20.16,-37.87,-45.55
1400,-0.62,-20.17,-38.53,-45.82
1500,-0.66,-20.05,-39.12,-46.81
